"","Name","ID","NROW"
"1",NA,1,0
"2","Leucocoryne pauciflora",2,0
"3","Chaetanthera microphylla",3,26
"4","Haplopappus chysanthemifolius",4,0
"5","Senecio lithostaurus",5,5
"6","Oxalis cinerea",6,44
"7","Bowlesia tropaeolifolia",7,109
"8","Valeriana gracileps",8,0
"9","Rhodophiala montana",9,0
"10","Leuceria landbeckii",10,0
"11","Erodium cicutarium",11,261571
"12","Tristagma sessile",12,8
"13","Acaena pinn",13,0
"14","Tetraglochin alatum",14,0
"15","Mustisia acerosa",15,0
"16","Nardophyllum lanatum",16,63
"17","Anarthrophyllum gayanum",17,10
"18","Oxalis compacta",18,71
"19","Loasa caespitosa",19,8
"20","Mutisia sinuata",20,125
"21","Calceolaria biflora",21,307
"22","Calceolaria arachnoides",22,0
"23","Laretia acaulis",23,0
"24","Cerastium montioides",24,0
"25","Viola philippii",25,5
"26","Discaria nana",26,36
"27","Azorella monantha",27,227
"28","Chaetanthera pusilla",28,0
"29","Nassauvia axillaris",29,171
"30","Calandrinia sericea",30,0
"31","Acaena pinnatifida",31,734
"32","Nassauvia pungens",32,0
"33","Caiophora coronata",33,218
"34","Oreopolus glacialis",34,202
"35","Nassauvia lagascae",35,138
"36","Nototriche compacta",36,39
"37","Draba gilliesii",37,65
"38","Junellia uniflora",38,38
"39","Chaetanthera lycopodioides",39,0
"40","Viola atropurpurea",40,56
"41","Viola montagnei",41,38
"42","Tropaeolum polyphyllum",42,185
"43","Azorella madreporica",43,41
"44","Erigeron andicola",44,60
"45","Nassauvia pinnigera",45,21
"46","Adesmia glomerula",46,29
"47","Adesmia capitellata",47,22
"48","Cornus canadensis",48,34117
"49","Maianthemum canadense",49,35517
"50","Aralia nudicaulis",50,30326
"51","Clintonia borealis",51,19540
"52","Trillium undulatum",52,12165
"53","Chimaphila umbellata",53,27553
"54","Cypripedium acaule",54,28777
"55","Linnaea borealis",55,88777
"56","Pyrola secunda",56,0
"57","Trientalis borealis",57,0
"58","Oxalis montana",58,5352
"59","Jamesia americana",59,1509
"60","Prunus demissa",60,0
"61","Taraxacum officinale",61,213398
"62","Arctostaphylus uva-ursi",62,0
"63","Asclepias halli",63,0
"64","Chamaenerium angustifolium",64,0
"65","Geranium richardsoni",65,0
"66","Holodiscus dumosus",66,0
"67","Linaria vulgaris",67,322554
"68","Mentzelia multiflora",68,1688
"69","Opulaster opulifolius",69,0
"70","Penstemon unilateralis",70,37
"71","Petalostemon candidus",71,0
"72","Petalostemon purpureus",72,0
"73","Rosa acicularis",73,11973
"74","Rubus deliciosus",74,1528
"75","Rubus strigosus",75,0
"76","Solidago missouriensis",76,3661
"77","Stanleya pinnatifida",77,0
"78","Thalictrum fendleri",78,4373
"79","Tradescantia virginiana",79,6255
"80","Asclepias speciosa",80,14006
"81","Frasera speciosa",81,5559
"82","Carduus hookerianus",82,0
"83","Mertensia sibirica",83,140
"84","Achillea millefolium",84,906784
"85","Erigeron macranthus",85,0
"86","Geranium caespitosum",86,4584
"87","Pentstemon glaber",87,0
"88","Monarda fistulosa",88,31335
"89","Prunus virginiana",89,30829
"90","Astragalus drummondi",90,0
"91","Heracleum lanatum",91,0
"92","Potentilla gracilis",92,5792
"93","Onagra biennis",93,0
"94","Penstemon secundiflorus",94,1475
"95","Sedum stenopetalum",95,2441
"96","Pentstemon gracilis",96,0
"97","Aragalus lamberti",97,0
"98","Capnoides aureum",98,0
"99","Dodecatheon meadia",99,5149
"100","Lithospermum canescens",100,4675
"101","Penstemon halli",101,0
"102","Campanula rotundifolia",102,357235
"103","Potentilla arguta",103,0
"104","Helianthus petiolaris",104,3941
"105","Rydbergia grandilfora",105,0
"106","Thermopsis montana",106,2311
"107","Aconitum columbianum",107,5320
"108","Delphinium scopulorum",108,86
"109","Gentiana parryi",109,1682
"110","Ibidium strictum",110,0
"111","Elephantella groenlandica",111,0
"112","Pentstemon glaucus",112,0
"113","Allium recurvatum",113,0
"114","Aster foliaceus",114,0
"115","Calochortus gunnisoni",115,0
"116","Chrysopsis villosa",116,0
"117","Cleome serrulata",117,0
"118","Drymocallis fissa",118,601
"119","Fragaria vesca",119,438917
"120","Lathyrus ornatus",120,0
"121","Pedicularis racemosa",121,4101
"122","Sieversia ciliata",122,0
"123","Dasyphora fruticosa",123,0
"124","Aquilegia brevistyla",124,719
"125","Aquilegia coerulea",125,4840
"126","Castilleia miniata",126,0
"127","Erigeron uniflorus",127,15691
"128","Pedicularis parryi",128,849
"129","Trifolium dasyphyllum",129,1027
"130","Potentilla pulcherrima",130,1724
"131","Scutellaria resinosa",131,260
"132","Erysimum asperum",132,1785
"133","Pachylophus caespitosus",133,0
"134","Oreochrysum parryi",134,758
"135","Draba aurea",135,1130
"136","Iris missouriensis",136,5624
"137","Phacelia heterophylla",137,2408
"138","Polygonum bistorta",138,2428
"139","Mertensia pratensis",139,7
"140","Valeriana edulis",140,2094
"141","Silene acaulis",141,57357
"142","Gilia aggregata",142,0
"143","Caltha leptosepala",143,4237
"144","Malvastrum coccineum",144,0
"145","Sambucus racemosa",145,205376
"146","Galium boreale",146,115109
"147","Apocynum androsaemifolium",147,22017
"148","Silene halli",148,0
"149","Sieversia turbinata",149,0
"150","Lappula floribunda",150,0
"151","Prunus pennsylvanica",151,0
"152","Physaria didymocarpa",152,496
"153","Leucanthemum vulgare",153,410761
"154","Lotus corniculatus",154,597242
"155","Lathyrus pratensis",155,454515
"156","Trifolium dubium",156,258253
"157","Vicia cracca",157,462277
"158","Hypochoeris radicata",158,6938
